#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Kanpur,"B.Tech (Aerospace Engineering, Biological Sciences & Bioengineering, Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electrical Engineering, Materials Science & Engineering, Mechanical Engineering), MBA (Management)",Kanpur Nagar,"Kalyanpur, Kanpur, Uttar Pradesh 208016",+91-512-259 0151,https://www.iitk.ac.in/,Uttar Pradesh
2,Indian Institute of Technology (BHU) Varanasi,"B.Tech (Ceramic Engineering, Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics Engineering, Mechanical Engineering, Metallurgical Engineering, Mining Engineering, Pharmaceutical Engineering & Technology), MBA (Management)",Varanasi,"IIT (BHU), Varanasi, Uttar Pradesh 221005",+91-542-2368106 | doaa@iitbhu.ac.in,https://www.iitbhu.ac.in/,Uttar Pradesh
3,Motilal Nehru National Institute of Technology Allahabad,"B.Tech (Bio-Technology, Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Communication Engineering, Information Technology, Mechanical Engineering, Production & Industrial Engineering), MBA (Management)",Prayagraj,"Barrister Mullah Colony, Teliarganj, Prayagraj, Uttar Pradesh 211004",+91-532-2545404 | director@mnnit.ac.in,https://www.mnnit.ac.in/,Uttar Pradesh
4,Aligarh Muslim University,"B.Tech (Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Electronics Engineering, Mechanical Engineering, Petrochemical Engineering), MBA (Management)",Aligarh,"Aligarh, Uttar Pradesh 202002",+91-571 2100994 | registrar@amu.ac.in,https://www.amu.ac.in/,Uttar Pradesh
5,Ajay Kumar Garg Engineering College,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Machine Learning, Computer Science & Information Technology, Data Science, Internet of Things, Computer Science & Engineering (Hindi))",Ghaziabad,"27th Km Milestone, Delhi - Hapur Bypass Road, P.O. Adhyatmik Nagar, Ghaziabad, Uttar Pradesh 201009",8744052891 | director@akgec.ac.in,https://www.akgec.ac.in/,Uttar Pradesh
6,Galgotias University,"B.Tech (Computer Science & Engineering, Artificial Intelligence, Machine Learning, Civil Engineering, Mechanical Engineering, Electronics & Communication Engineering, Electrical Engineering), MBA (Finance, Marketing, Human Resources, Operations)",Gautam Buddha Nagar,"Plot No. 2, Sector-17A, Yamuna Expressway, Greater Noida, Gautam Buddh Nagar, Uttar Pradesh 201310",+91-120-4370000 | admissions@galgotiasuniversity.edu.in,https://www.galgotiasuniversity.edu.in/,Uttar Pradesh
7,GL Bajaj Institute of Technology and Management,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Data Science, Artificial Intelligence & Machine Learning), MBA (Management)",Gautam Buddha Nagar,"Plot No. 2, Knowledge Park III, Greater Noida, Distt. G.B.Nagar, Uttar Pradesh 201306",8010-000-234 | admission@glbitm.org,https://www.glbitm.org/,Uttar Pradesh
8,ABES Engineering College,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Machine Learning, Data Science), MBA (Management)",Ghaziabad,"Campus -1, 19th KM Stone, NH-09, Ghaziabad, Uttar Pradesh 201009",+91-120-7135112 | admission@abes.ac.in,https://abes.ac.in/,Uttar Pradesh
9,KIET Group of Institutions,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Computer Science & Engineering (AI), Artificial Intelligence & Machine Learning), MBA (Management)",Ghaziabad,"Ghaziabad - Meerut Highway (NH-58), Muradnagar, Ghaziabad, Uttar Pradesh 201206",+91-1232-227978 | admission@kiet.edu,https://www.kiet.edu/,Uttar Pradesh
10,JSS Academy of Technical Education,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Instrumentation & Control Engineering, Manufacturing Engineering), MBA (Management)",Gautam Buddha Nagar,"C-20/1, Sector-62, Noida, Uttar Pradesh 201301",0120-2401442 | principal@jssaten.ac.in,https://www.jssaten.ac.in/,Uttar Pradesh
11,Indian Institute of Management Lucknow,"MBA (Management), PGDM (Agri-Business Management, Sustainable Management)",Lucknow,"Prabandh Nagar, IIM Road, Lucknow, Uttar Pradesh 226013",+91-522-2734101 | admission@iiml.ac.in,https://www.iiml.ac.in/,Uttar Pradesh
12,Institute of Management Technology Ghaziabad,"PGDM (Marketing, Finance, Dual Country Programme, Banking & Financial Services, Executive)",Ghaziabad,"Raj Nagar, Post Box No.137, Ghaziabad, Uttar Pradesh 201001",+91-120-4083306 | admissions@imt.edu,https://www.imt.edu/,Uttar Pradesh
13,Jaipuria Institute of Management Lucknow,"PGDM (General Management, Financial Services, Retail Management)",Lucknow,"Vineet Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",+91-522-2394296 | admission.lucknow@jaipuria.ac.in,https://www.jaipuria.ac.in/schools/jaipuria-lucknow/,Uttar Pradesh
14,Birla Institute of Management Technology,"PGDM (General Management, International Business, Insurance Business Management, Retail Management)",Gautam Buddha Nagar,"Plot No. 5, Knowledge Park II, Greater Noida, Uttar Pradesh 201306",+91-120-2323001 | admission@bimtech.ac.in,https://www.bimtech.ac.in/,Uttar Pradesh
15,Jaipuria Institute of Management Noida,"PGDM (General Management, Marketing, Service Management)",Gautam Buddha Nagar,"A-32, Sector 62, Noida, Uttar Pradesh 201309",+91-120-4638300 | admission.noida@jaipuria.ac.in,https://www.jaipuria.ac.in/schools/jaipuria-noida/,Uttar Pradesh
16,Institute of Management Studies Ghaziabad,PGDM (Management),Ghaziabad,"G.T. Road, Lal Quan, Ghaziabad, Uttar Pradesh 201009",+91-120-4170600 | admissions@imsgzb.ac.in,https://www.imsghaziabad.ac.in/,Uttar Pradesh
17,Amity Business School Noida,"MBA (General Management, International Business, Marketing & Sales, Human Resources)",Gautam Buddha Nagar,"Amity University Campus, Sector-125, Noida, Uttar Pradesh 201313",+91-120-4392000 | admissions@amity.edu,https://www.amity.edu/abs/,Uttar Pradesh
18,"Faculty of Management Studies, Banaras Hindu University","MBA (General Management, Agri-Business Management, Risk & Insurance)",Varanasi,"Banaras Hindu University, Varanasi, Uttar Pradesh 221005",+91-542-2369332 | fmsbhu@fmsbhu.ac.in,https://www.bhu.ac.in/fms/,Uttar Pradesh
19,Galgotias University School of Business,"MBA (Finance, Marketing, Human Resources, Operations)",Gautam Buddha Nagar,"Plot No. 2, Sector 17-A, Yamuna Expressway, Greater Noida, Gautam Buddh Nagar, Uttar Pradesh 201310",+91-9582847072 | admissions@galgotiasuniversity.edu.in,https://www.galgotiasuniversity.edu.in/p/school-of-business,Uttar Pradesh
20,Shri Ramswaroop Memorial University,"B.Tech (Computer Science & Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Electronics & Communication Engineering, Biotechnology), MBA (Management)",Barabanki,"Village Hadauri, Post Tindola, Lucknow - Deva Road, Barabanki, Uttar Pradesh 225003",+91-1800-102-6004 | admission@srmu.ac.in,https://www.srmu.ac.in/,Uttar Pradesh
21,Harcourt Butler Technical University,"B.Tech (Chemical, Civil, Computer Science, Electrical, Electronics, Food Technology, Information Technology, Mechanical, Oil Technology, Paint Technology, Plastic Technology, Biochemical, Leather Technology)",Kanpur Nagar,"Nawabganj, Kanpur, Uttar Pradesh 208002",+91-512-2534001 | registrar@hbtu.ac.in,https://hbtu.ac.in/,Uttar Pradesh
22,Madan Mohan Malaviya University of Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Chemical, Information Technology), MBA (Finance, Marketing, HR, Operations)",Gorakhpur,"Deoria Road, Singhariya, Kunraghat, Gorakhpur, Uttar Pradesh 273010",+91-551-2270021 | patovc@mmmut.ac.in,https://www.mmmut.ac.in/,Uttar Pradesh
23,Institute of Engineering and Technology Lucknow,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Chemical, Information Technology, Electronics & Instrumentation)",Lucknow,"Sitapur Road, Lucknow, Uttar Pradesh 226021",+91-522-2732193 | director@ietlucknow.ac.in,https://www.ietlucknow.ac.in/,Uttar Pradesh
24,Kamla Nehru Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Information Technology)",Sultanpur,"Sultanpur, Uttar Pradesh 228118",+91-5362-240454 | registrar@knit.ac.in,https://www.knit.ac.in/,Uttar Pradesh
25,Bundelkhand Institute of Engineering and Technology,"B.Tech (Chemical, Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Information Technology)",Jhansi,"Kanpur Road, Jhansi, Uttar Pradesh 284128",+91-510-2320349 | director@bietjhs.ac.in,https://bietjhs.ac.in/,Uttar Pradesh
26,Rajkiya Engineering College Kannauj,"B.Tech (Civil, Computer Science, Electrical, Electronics)",Kannauj,"Aher, Tirwa Road, Kannauj, Uttar Pradesh 209732",+91-5682-221301 | principal@reck.ac.in,https://reck.ac.in/,Uttar Pradesh
27,Rajkiya Engineering College Azamgarh,"B.Tech (Civil, Mechanical, Information Technology, Electrical)",Azamgarh,"Madan Mohan Malviya, Azamgarh, Uttar Pradesh 276304",+91-5462-220009 | director@recaazamgarh.ac.in,https://recaazamgarh.ac.in/,Uttar Pradesh
28,Rajkiya Engineering College Ambedkar Nagar,"B.Tech (Civil, Electrical, Information Technology)",Ambedkar Nagar,"Akbarpur-Tanda Road, Ambedkar Nagar, Uttar Pradesh 224122",+91-5271-230035 | director@recabn.ac.in,https://recabn.ac.in/,Uttar Pradesh
29,Rajkiya Engineering College Bijnor,"B.Tech (Civil, Electrical, Information Technology)",Bijnor,"Chandpur, Bijnor, Uttar Pradesh 246725",+91-1342-263021 | principal@recb.ac.in,https://recb.ac.in/,Uttar Pradesh
30,Rajkiya Engineering College Banda,"B.Tech (Mechanical, Electrical, Information Technology)",Banda,"Atarra, Banda, Uttar Pradesh 210201",+91-5192-224204 | director@recbanda.ac.in,https://recbanda.ac.in/,Uttar Pradesh
31,Galgotias College of Engineering and Technology,"B.Tech (Artificial Intelligence & Data Science, Artificial Intelligence & Machine Learning, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Information Technology, Mechanical)",Gautam Buddha Nagar,"1, Knowledge Park, Phase II, Greater Noida, Uttar Pradesh 201306",+91-120-4370000 | admissions@galgotiacollege.edu,https://www.galgotiacollege.edu/,Uttar Pradesh
32,Greater Noida Institute of Technology (Engineering Institute),"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Artificial Intelligence & Machine Learning, Information Technology, Computer Science & Design)",Gautam Buddha Nagar,"Plot No. 7, Knowledge Park - II, Greater Noida, Uttar Pradesh 201310",+91-8860606661 | gnit@gniot.net.in,https://www.gniotgroup.edu.in/,Uttar Pradesh
33,Noida Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Artificial Intelligence & Machine Learning, Biotechnology, Chemical, Information Technology)",Gautam Buddha Nagar,"19, Knowledge Park-II, Institutional Area, Greater Noida, Uttar Pradesh 201306",+91-120-2328062 | admission@niet.co.in,https://www.niet.co.in/,Uttar Pradesh
