#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Madras,"B.Tech (Aerospace, Biological Sciences, Chemical, Civil, Computer Science, Electrical, Mechanical, Materials, Engineering Physics)",Chennai,"Sardar Patel Road, Chennai, Tamil Nadu 600036",-22577988,https://www.iitm.ac.in/,Tamil Nadu
2,National Institute of Technology Tiruchirappalli,"B.Tech (Chemical, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical, Metallurgical & Materials, Production, Instrumentation & Control), MBA (Management)",Tiruchirappalli,"Tanjore Main Road, National Highway 67, Tiruchirappalli, Tamil Nadu 620015",+91-431-2503000 | registrar@nitt.edu,https://www.nitt.edu/,Tamil Nadu
3,Anna University College of Engineering Guindy,"B.Tech (Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Information Technology, Mechanical, Biomedical, Printing Technology)",Chennai,"Sardar Patel Road, Guindy, Chennai, Tamil Nadu 600025",+91-44-22357004 | registrar@annauniv.edu,https://www.annauniv.edu/,Tamil Nadu
4,Vellore Institute of Technology,"B.Tech (Biotechnology, Chemical, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical, Information Technology), MBA (Management)",Vellore,"Tiruvalam Road, Vellore, Tamil Nadu 632014",+91-416-2202000 | info@vit.ac.in,https://vit.ac.in/,Tamil Nadu
5,SRM Institute of Science and Technology,"B.Tech (Aerospace, Automobile, Biomedical, Biotechnology, Chemical, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical), MBA (Management)",Kanchipuram,"SRM Nagar, Kattankulathur, Kanchipuram, Tamil Nadu 603203",+91-44-27417000 | infodesk@srmist.edu.in,https://www.srmist.edu.in/,Tamil Nadu
6,K S R College of Engineering,"B.Tech (Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical, Information Technology), MBA (Management)",Namakkal,"Thokkavadi, Tiruchengode, Namakkal Dist, Tamil Nadu 637215",+91-4288-274773 | principal@ksrce.ac.in,https://www.ksrce.ac.in/,Tamil Nadu
7,Jayaram College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical, Information Technology)",Tiruchirappalli,"Taluk, Tiruchirappalli 621014",+91-4327-230270 | principal@jcet.ac.in,https://www.jcet.ac.in/,Tamil Nadu
8,CMS College of Engineering,"B.Tech (Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical)",Namakkal,"CMS Nagar, Eranapuram Post, Namakkal, Tamil Nadu 637003",+91-4286-277123 | cmsce@yahoo.com,https://www.cmscollege.net/,Tamil Nadu
9,Vel Tech,"B.Tech (Aeronautical, Automobile, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical)",Chennai,"60, Avadi-Veltech Road, Avadi, Chennai, Tamil Nadu 600062",+91-44-26841601 | admission@veltech.edu.in,https://www.veltech.edu.in/,Tamil Nadu
10,Bannari Amman Institute of Technology,"B.Tech (Aerospace, Agriculture, Automobile, Biotechnology, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Food Technology, Information Technology, Mechanical), MBA (Management)",Erode,"Alathukombai Post, Sathyamangalam, Erode, Tamil Nadu 638401",+91-4295-226000 | bitsathy@bannari.com,https://www.bitsathy.ac.in/,Tamil Nadu
