#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Indore,"B.Tech (Computer Science, Electrical, Mechanical, Civil, Metallurgical & Materials, Chemical, Biosciences & Biomedical) + MBA (via HSOM: Finance, Marketing, Operations)",Indore,"Khandwa Road, Simrol, Indore, Madhya Pradesh 453552",0731-6603555 | iitindore@iiti.ac.in,https://www.iiti.ac.in/,Madhya Pradesh
2,Maulana Azad National Institute of Technology Bhopal,"B.Tech (Civil, Mechanical, Electrical, Electronics & Communication, Computer Science, Chemical, Metallurgical & Materials) + MBA (General)",Bhopal,"Link Road Number 3, Near Kali Mata Mandir, Bhopal, Madhya Pradesh 462003",0755-4051000 | info@manit.ac.in,https://www.manit.ac.in/,Madhya Pradesh
3,Indian Institute of Information Technology Design and Manufacturing Jabalpur,"B.Tech (Computer Science, Electronics & Communication, Mechanical, Smart Manufacturing)",Jabalpur,"Dumna Airport Road, Khamaria, Jabalpur, Madhya Pradesh 482005",0761-2794001 | registrar@iiitdmj.ac.in,https://www.iiitdmj.ac.in/,Madhya Pradesh
4,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,"B.Tech (Computer Science, Information Technology, Electronics & Communication) + MBA (IT Enabled Services Management)",Gwalior,"Morena Link Road, Gwalior, Madhya Pradesh 474015",0751-2449816 | director@iiitm.ac.in,https://www.iiitm.ac.in/,Madhya Pradesh
5,School of Planning and Architecture Bhopal,B.Tech (Planning),Bhopal,"Bhauri, Bhopal, Madhya Pradesh 462030",0755-2526800 | registrar@spabhopal.ac.in,https://www.spabhopal.ac.in/,Madhya Pradesh
6,Indian Institute of Forest Management Bhopal,PGDFM (Post Graduate Diploma in Forestry Management),Bhopal,"Nehru Nagar, Bhopal, Madhya Pradesh 462003",0755-2775998 | director@iifm.ac.in,https://iifm.ac.in/,Madhya Pradesh
7,Jabalpur Engineering College,"B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer Science, Information Technology, Industrial & Production)",Jabalpur,"Gokulpur, Ranjhi, Jabalpur, Madhya Pradesh 482011",0761-2331953 | principal_jec_jabalpur@yahoo.co.in,https://www.jecjabalpur.ac.in/,Madhya Pradesh
8,Shri Govindram Seksaria Institute of Technology and Science,"B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, IT, Biomedical, Industrial & Production)",Indore,"23 Sir M. Visvesvaraya Marg, Indore, Madhya Pradesh 452003",0731-2582100 | director@sgsits.ac.in,https://www.sgsits.ac.in/,Madhya Pradesh
9,Madhav Institute of Technology and Science,"B.Tech (Civil, Mechanical, Electrical, Electronics, Computer Science, Chemical, Biotechnology, IT)",Gwalior,"Race Course Road, Gola ka Mandir, Gwalior, Madhya Pradesh 474005",0751-2409300 | director@mitsgwalior.in,https://mitsgwalior.in/,Madhya Pradesh
10,Samrat Ashok Technological Institute,"B.Tech (Civil, Mechanical, Electrical, Electronics & Instrumentation, Computer Science, IT, Petrochemical)",Vidisha,"Civil Lines, Vidisha, Madhya Pradesh 464001",07592-250296 | info@satiengg.in,https://www.satiengg.in/,Madhya Pradesh
11,Ujjain Engineering College,"B.Tech (Civil, Mechanical, Electrical, Electronics & Communication, Computer Science, Chemical)",Ujjain,"Indore Road, Ujjain, Madhya Pradesh 456010",0734-2511912 | principal.uecu@gmail.com,https://www.uecu.ac.in/,Madhya Pradesh
12,Rewa Engineering College,"B.Tech (Civil, Mechanical, Electrical, Electronics & Communication, Computer Science)",Rewa,"Allahabad Road, Rewa, Madhya Pradesh 486002",07662-504446 | principalrec@yahoo.com,https://www.recrewa.ac.in/,Madhya Pradesh
13,Indira Gandhi Engineering College,"B.Tech (Civil, Mechanical, Electrical, Computer Science)",Sagar,"Baheriya, Tilak Ganj, Sagar, Madhya Pradesh 470001",07582-263850 | principal_igec@yahoo.co.in,https://www.igecsagar.ac.in/,Madhya Pradesh
14,Nowgong Engineering College,"B.Tech (Civil, Mechanical, Computer Science)",Chhatarpur,"NH-75, Nowgong, Chhatarpur, Madhya Pradesh 471201",Not Available (after search),https://www.necnowgong.ac.in/,Madhya Pradesh
15,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,"B.Tech (Civil, Mechanical, Food Technology, IT)",Satna,"Chitrakoot, Satna, Madhya Pradesh 485334",07670-265413 | registrar_mgcgv@yahoo.co.in,https://www.mgcgvchitrakoot.com/,Madhya Pradesh
16,Barkatullah University Institute of Technology,"B.Tech (Civil, Mechanical, Electronics & Communication, Computer Science, IT)",Bhopal,"Hoshangabad Road, Bhopal, Madhya Pradesh 462026",0755-2517100 | registrar@bubhopal.ac.in,https://www.buit.ac.in/,Madhya Pradesh
17,Institute of Engineering and Technology DAVV,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil, Electronics & Instrumentation)",Indore,"Khandwa Road, Indore, Madhya Pradesh 452017",0731-2361116 | headiet@ietdavv.edu.in,https://www.ietdavv.edu.in/,Madhya Pradesh
18,Rustamji Institute of Technology,"B.Tech (Automobile, Electronics & Communication, Computer Science, IT, Electrical, Mechanical)",Gwalior,"BSF Academy, Tekanpur, Gwalior, Madhya Pradesh 475005",07524-274320 | rjit_bsfr@yahoo.com,https://www.rjit.ac.in/,Madhya Pradesh
