#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Tirupati,B.Tech,Tirupati,"Yerpedu - Venkatagiri Road, Tirupati, Andhra Pradesh 517619",0877-2503505 | registrar@iittp.ac.in,https://www.iittp.ac.in/,Andhra Pradesh
2,National Institute of Technology Andhra Pradesh,B.Tech,West Godavari,"Near National Highway No. 16, Kondruprolu, Tadepalligudem, Andhra Pradesh 534101",08818-284710,https://www.nitandhra.ac.in/,Andhra Pradesh
3,K L University,"B.Tech, MBA",Guntur,"Vaddeswaram, Andhra Pradesh 522502",0863-2399999 | registrar@kluniversity.in,https://www.kluniversity.in/,Andhra Pradesh
4,Gayatri Vidya Parishad College of Engineering,B.Tech,Visakhapatnam,"Madhurawada, Visakhapatnam, Andhra Pradesh 530048",0891-2739507 | principal@gvpce.ac.in,https://www.gvpce.ac.in/,Andhra Pradesh
5,Jawaharlal Nehru Technological University Kakinada,B.Tech,East Godavari,"Kakinada, Andhra Pradesh 533003",0884-2300900 | registrar@jntuk.edu.in,https://www.jntuk.edu.in/,Andhra Pradesh
6,Sri Venkateswara University College of Engineering,B.Tech,Tirupati,"Tirupati, Andhra Pradesh 517502",0877-2289561 | principal_svuce@svuniversity.edu.in,https://www.svuniversity.edu.in/,Andhra Pradesh
7,Swarnandhra College of Engineering & Technology,B.Tech,West Godavari,"Seetharampuram, Narsapur, Andhra Pradesh 534280",08814-240588 | principal@swarnandhra.ac.in,https://www.swarnandhra.ac.in/,Andhra Pradesh
8,Vignan's Institute of Information Technology,"B.Tech, MBA",Visakhapatnam,"Besides VSEZ, Duvvada, Gajuwaka, Visakhapatnam, Andhra Pradesh 530049",0891-2752333 | principal@viit.ac.in,https://www.viit.ac.in/,Andhra Pradesh
9,Aditya Engineering College,B.Tech,East Godavari,"Aditya Nagar, ADB Road, Surampalem, Andhra Pradesh 533437",0884-2326000 | principal@aec.edu.in,https://www.aec.edu.in/,Andhra Pradesh
10,Sagi Ramakrishnam Raju Engineering College,B.Tech,West Godavari,"Chinna Amiram, Bhimavaram, Andhra Pradesh 534204",08816-223332 | principal@srkrec.ac.in,https://www.srkrec.edu.in/,Andhra Pradesh
11,Velagapudi Ramakrishna Siddhartha Engineering College,B.Tech,Krishna,"Kanuru, Vijayawada, Andhra Pradesh 520007",0866-2582333 | principal@vrsiddhartha.ac.in,https://www.vrsiddhartha.ac.in/,Andhra Pradesh
12,Lakireddy Bali Reddy College of Engineering,B.Tech,Krishna,"L.B. Reddy Nagar, Mylavaram, Andhra Pradesh 521230",08659-222933 | principal@lbrce.ac.in,https://www.lbrce.ac.in/,Andhra Pradesh
13,Annamacharya Institute of Technology and Sciences,B.Tech,Kadapa,"New Boyanapalli, Rajampet, Andhra Pradesh 516126",08565-251861 | principal@aitsrajampet.ac.in,https://www.aitsrajampet.ac.in/,Andhra Pradesh
14,Dr. Lankapalli Bullayya College of Engineering,B.Tech,Visakhapatnam,"D.No: 52-14-75, Resapuvanipalem, Visakhapatnam, Andhra Pradesh 530013",0891-2508414 | principal@bullayyacollege.org,https://bullayyacollege.org/,Andhra Pradesh
15,Andhra University College of Engineering,B.Tech,Visakhapatnam,"Andhra University, Visakhapatnam, Andhra Pradesh 530003",0891-2844000 | registrar@andhrauniversity.edu.in,https://www.andhrauniversity.edu.in/,Andhra Pradesh
16,RVR and JC College of Engineering,B.Tech,Guntur,"Chandramoulipuram, Chowdavaram, Guntur, Andhra Pradesh 522019",0863-2288201 | principal@rvrjc.ac.in,https://rvrjc.ac.in/,Andhra Pradesh
17,Prasad V Potluri Siddhartha Institute of Technology,B.Tech,Krishna,"Kanuru, Vijayawada, Andhra Pradesh 520007",0866-2581699 | principal@pvpsiddhartha.ac.in,https://www.pvpsiddhartha.ac.in/,Andhra Pradesh
18,Vasireddy Venkatadri Institute of Technology,B.Tech,Guntur,"Nambur, Pedakakani, Guntur, Andhra Pradesh 522508",0863-2263336 | principal@vvitguntur.com,https://www.vvitguntur.com/,Andhra Pradesh
19,GMR Institute of Technology,B.Tech,Srikakulam,"GMR Nagar, Rajam, Andhra Pradesh 532127",08941-251592 | principal@gmrit.edu.in,https://www.gmrit.edu.in/,Andhra Pradesh
20,Godavari Institute of Engineering and Technology,B.Tech,East Godavari,"NH-16, Chaitanya Knowledge City, Rajahmundry, Andhra Pradesh 533296",0883-2004735 | principal@giet.ac.in,https://www.giet.ac.in/,Andhra Pradesh
21,QIS College of Engineering and Technology,B.Tech,Prakasam,"Vengamukkapalem, Ongole, Andhra Pradesh 523272",08592-222830 | principal@qiscet.edu.in,https://www.qiscet.edu.in/,Andhra Pradesh
22,Maharaj Vijayaram Gajapathi Raj College of Engineering,B.Tech,Vizianagaram,"Vijayaram Nagar Campus, Chintalavalasa, Vizianagaram, Andhra Pradesh 535005",08922-241199 | principal@mvgrce.edu.in,https://www.mvgrce.com/,Andhra Pradesh
23,Pragati Engineering College,B.Tech,East Godavari,"ADB Road, Surampalem, Andhra Pradesh 533437",08852-252233 | principal@pragati.ac.in,https://www.pragati.ac.in/,Andhra Pradesh
24,Anil Neerukonda Institute of Technology and Sciences,B.Tech,Visakhapatnam,"Sangivalasa, Bheemunipatnam, Visakhapatnam, Andhra Pradesh 531162",08933-225083 | principal@anits.edu.in,https://www.anits.edu.in/,Andhra Pradesh
25,Aditya Institute of Technology and Management,B.Tech,Srikakulam,"K Kotturu, Tekkali, Andhra Pradesh 532201",08945-245666 | principal@adityatekkali.edu.in,https://www.adityatekkali.edu.in/,Andhra Pradesh
26,Narasaraopeta Engineering College,B.Tech,Guntur,"Kotappakonda Road, Yellamanda, Narasaraopet, Andhra Pradesh 522601",08647-239904 | principal@nrtec.ac.in,https://www.nrtec.ac.in/,Andhra Pradesh
27,Raghu Engineering College,B.Tech,Visakhapatnam,"Dakamarri, Bheemunipatnam, Visakhapatnam, Andhra Pradesh 531162",08922-248001 | principal@raghuenggcollege.com,https://www.raghuenggcollege.com/,Andhra Pradesh
28,Bapatla Engineering College,B.Tech,Guntur,"Mahatmajipuram, Bapatla, Andhra Pradesh 522102",08643-224244 | principal@becbapatla.ac.in,https://www.becbapatla.ac.in/,Andhra Pradesh
29,Rajeev Gandhi Memorial College of Engineering and Technology,B.Tech,Kurnool,"NH-40, Nandyal, Andhra Pradesh 518501",08514-275203 | principal@rgitnandyal.com,https://www.rgmcet.edu.in/,Andhra Pradesh
30,Audisankara College of Engineering and Technology,B.Tech,Nellore,"NH-5, Bypass Road, Gudur, Andhra Pradesh 524101",08624-221942 | principal@audisankara.ac.in,https://www.audisankara.ac.in/,Andhra Pradesh
31,Tirumala Engineering College,B.Tech,Guntur,"Jonnalagadda, Narasaraopet, Andhra Pradesh 522601",08647-218164 | principal@tmecnrt.org,https://tmecnrt.org/,Andhra Pradesh
32,Gayatri Vidya Parishad College of Engineering for Women,B.Tech,Visakhapatnam,"Madhurawada, Visakhapatnam, Andhra Pradesh 530048",0891-2737719 | principal@gvpcew.ac.in,https://www.gvpcew.ac.in/,Andhra Pradesh
33,Nadimpalli Satyanarayana Raju Institute of Technology,B.Tech,Visakhapatnam,"Sontyam, Anandapuram, Visakhapatnam, Andhra Pradesh 531173",08933-220125 | principal@nsrit.edu.in,https://www.nsrit.edu.in/,Andhra Pradesh
34,Raghu Institute of Technology,B.Tech,Visakhapatnam,"Dakamarri, Bheemunipatnam, Visakhapatnam, Andhra Pradesh 531162",08922-248003 | principal@raghuit.ac.in,https://www.raghuit.ac.in/,Andhra Pradesh
