#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Gandhinagar,B.Tech,Gandhinagar,"Palaj, Gandhinagar, Gujarat 382355",079-23952020 | registrar@iitgn.ac.in,https://www.iitgn.ac.in/,Gujarat
2,Sardar Vallabhbhai National Institute of Technology Surat,B.Tech,Surat,"Ichchhanath, Surat, Gujarat 395007",0261-2201505 | dean_acad@svnit.ac.in,https://www.svnit.ac.in/,Gujarat
3,Indian Institute of Information Technology Surat,B.Tech,Surat,"C/O SVNIT, Ichchhanath, Surat, Gujarat 395007",Not Available (after search),https://iiitsurat.ac.in/,Gujarat
4,L.J. University,"B.Tech, MBA",Ahmedabad,"LJ Campus, S.G. Road, Ahmedabad, Gujarat 382210",079-30642000 | info@ljku.edu.in,https://www.ljku.edu.in/,Gujarat
5,Dharmsinh Desai University,"B.Tech, MBA",Nadiad,"College Road, Nadiad, Gujarat 387001",0268-2520502 | registrar@ddu.ac.in,https://www.ddu.ac.in/,Gujarat
6,Parul University,"B.Tech, MBA",Vadodara,"P.O.Limda, Ta.Waghodia, Vadodara, Gujarat 391760",02668-260300 | admission@paruluniversity.ac.in,https://paruluniversity.ac.in/,Gujarat
7,Pandit Deendayal Energy University,"B.Tech, MBA",Gandhinagar,"Raisan, Gandhinagar, Gujarat 382426",079-23275060 | info@pdpu.ac.in,https://www.pdpu.ac.in/,Gujarat
8,Nirma University,"B.Tech, MBA",Ahmedabad,"S G Highway, Ahmedabad, Gujarat 382481",079-71652000 | asst_registrar@nirmauni.ac.in,https://nirmauni.ac.in/,Gujarat
9,Dhirubhai Ambani Institute of Information and Communication Technology,B.Tech,Gandhinagar,"Near Indroda Circle, Gandhinagar, Gujarat 382007",079-68261500 | info@daiict.ac.in,https://www.daiict.ac.in/,Gujarat
10,Ahmedabad University,B.Tech,Ahmedabad,"Central Campus, Navrangpura, Ahmedabad, Gujarat 380009",079-61911000 | info@ahduni.edu.in,https://ahduni.edu.in/,Gujarat
11,Dr. S & S.S. Ghandhi Government Engineering College,B.Tech,Surat,"Opp Old RTO, Near Vanita Vishram Swimming Pool, Majura Gate, Surat, 395001",0261-2653139 | gec-surat-dte@gujarat.gov.in,https://www.gecsu.cteguj.in/,Gujarat
12,"Government Engineering College, Bharuch",B.Tech,Bharuch,"Old N.H.-8, College Road, Opp. Government Rest House, Bholav, Bharuch, 392002",02642-227054 | gec-bharuch-dte@gujarat.gov.in,https://gecbharuch.com/,Gujarat
13,"Government Engineering College, Dahod",B.Tech,Dahod,"Jhalod Road, Dahod, 389151",02673-263780 | gec-dahod-dte@gujarat.gov.in,https://www.gecdahod.ac.in/,Gujarat
14,"Government Engineering College, Bhuj",B.Tech,Kutch,"Near Uma Nagar, New Raval Vadi Relocation Site, Mirzapar Road, Bhuj-Kutch",02832-231164 | gec-bhuj-dte@gujarat.gov.in,https://gecbhuj.ac.in/,Gujarat
15,"Government Engineering College, Bhavnagar",B.Tech,Bhavnagar,"Vidyanagar, Near BPTI Campus, Bhavnagar",0278-2525354 | gec-bhav-dte@gujarat.gov.in,https://www.gecbvn.ac.in/,Gujarat
16,"Government Engineering College, Godhra",B.Tech,Panchmahal,"Godhra - Lunawada Highway, Village: Nasirpur, Post: Govindi, Godhra",02672-257500 | gec-godhra-dte@gujarat.gov.in,https://gecgd.cteguj.in/,Gujarat
17,"Government Engineering College, Modasa",B.Tech,Aravalli,"Shamalji Road, Modasa",02774-242634 | modasa_engg@yahoo.co.in,https://www.gecmodasa.ac.in/,Gujarat
18,"Government Engineering College, Palanpur",B.Tech,Banaskantha,"Ahmedabad-Palanpur Highway, At: Jagana, Palanpur",02742-220005 | gec-palanpur-dte@gujarat.gov.in,https://www.gecpalanpur.ac.in/,Gujarat
19,"Government Engineering College, Patan",B.Tech,Patan,"At-Katpur, Ta-Patan, Dist-Patan",02766-291561 | principal-gec-patan-dte@gujarat.gov.in,https://gecpatan.ac.in/,Gujarat
20,"Government Engineering College, Rajkot",B.Tech,Rajkot,"Mavdi - Kankot Rd, Near Hanuman Mandir, Kankot Village, Rajkot",0281-2924064 | gec-rajkot-dte@gujarat.gov.in,https://gecrajkot.ac.in/,Gujarat
21,"Government Engineering College, Sector 28 Gandhinagar",B.Tech,Gandhinagar,"Nr-Animal Vaccine Institute, Sector-28, Gandhinagar",079-23215167 | gec-gnagar-dte@gujarat.gov.in,https://www.gecg28.ac.in/,Gujarat
22,"Government Engineering College, Valsad",B.Tech,Valsad,"Between B.K.M. Science College & Government Polytechnic, Tithal Road, Valsad",02632-241960 | gec-valsad-dte@gujarat.gov.in,https://www.gecv.ac.in/,Gujarat
23,L.D. College of Engineering,B.Tech,Ahmedabad,"No.120 Circular Road, Opp Gujarat University, Navrangpura, Ahmedabad",079-26306752 | ldce-abad-dte@gujarat.gov.in,https://ldce.ac.in/,Gujarat
24,"L.E. College, Morbi",B.Tech,Morbi,"Sama Kantha, Morbi",02822-240743 | principallecollege@gmail.com,https://www.lecm.cteguj.in/,Gujarat
25,Shantilal Shah Engineering College,B.Tech,Bhavnagar,"Sidsar Campus, Post-Vartej, Bhavnagar",0278-2445509 | ssec-bhav-dte@gujarat.gov.in,https://www.ssgec.ac.in/,Gujarat
26,Vishwakarma Government Engineering College,B.Tech,Ahmedabad,"Visat Three Roads, Sabarmati - Koba Hwy, Chandkheda, Ahmedabad, 382424",079-23293866 | office@vgecg.ac.in,https://www.vgecg.ac.in/,Gujarat
27,Birla Vishvakarma Maha Vidhyalaya (GIA),B.Tech,Anand,"Mota Bazar, Vallabh Vidyanagar",02692-230104 | principal@bvmengineering.ac.in,https://www.bvmengineering.ac.in/,Gujarat
28,Faculty of Technology & Engineering (MSU),B.Tech,Vadodara,"Kalabhavan, Dandia Bazar, Vadodara",0265-2434188 | dean_techo@msubaroda.ac.in,https://www.msubaroda.ac.in/,Gujarat
29,"Faculty of Technology and Engineering (GIA), Dharmsinh Desai University",B.Tech,Kheda,"College Road, Nadiad, Kheda, 387001",0268-2520502 | registrar@ddu.ac.in,https://www.ddu.ac.in/,Gujarat
30,A.D. Patel Institute of Technology,B.Tech,Anand,"New Vallabh Vidhyanagar, Vitthal Udyognagar, Karamsad",02692-233680 | principal@adit.ac.in,https://www.adit.ac.in/,Gujarat
31,"Institute of Infrastructure, Technology, Research & Management (IITRAM)",B.Tech,Ahmedabad,"Near Khokhara Circle, Maninagar (East)",079-67775499 | office@iitram.ac.in,https://iitram.ac.in/,Gujarat
32,Aditya Silver Oak Institute of Technology,B.Tech,Ahmedabad,"352/353, Silver Oak University, 370/371, Near Bhavik Publication, Gota Gam, Gota, Ahmedabad",079-66046300 | info@silveroakuni.ac.in,https://silveroakuni.ac.in/,Gujarat
33,Adani University - Faculty of Engineering Sciences & Technology (AU-FEST),B.Tech,Ahmedabad,"Shantigram Township, Near Vaishnodevi Circle, Sg Highway, Ahmedabad",079-25556855 | info.fest@adaniuni.ac.in,https://www.adaniuni.ac.in/,Gujarat
34,Ahmedabad University,B.Tech,Ahmedabad,"Central Campus, Navrangpura, Ahmedabad 380009",079-61911111 | office_seas@ahduni.edu.in,https://ahduni.edu.in/seas,Gujarat
35,Ahmedabad Institute of Technology,B.Tech,Ahmedabad,"Beside Vasantnagar Township, Gota Ognaj Road",02717-241132 | info@aitindia.in,https://www.aitindia.in/,Gujarat
36,Anant School for Climate Action,B.Tech,Ahmedabad,"Sanskardham Campus, Bopal-Ghuma-Sanand Road, Ahmedabad",02717-718403 | climatetech@anu.edu.in,https://anu.edu.in/,Gujarat
37,Amrut Institute,B.Tech,Junagadh,"Khadiya -Bilkha Road, Po.Toraniya, Khadiya, Junagadh",8238945600 | amrutdegree2024@gmail.com,https://aij.ind.in/,Gujarat
38,Apollo Institute of Engineering & Technology,B.Tech,Ahmedabad,"SNME Campus, At Anasan, Near S. P. Ring Road Circle, Naroda - Dehgam Road, Ahmedabad, 382330",9687255050 | admin@aiet.edu.in,https://www.aiet.edu.in/,Gujarat
39,Arrdekta Institute of Technology,B.Tech,Sabarkantha,"Navi Metral, Sabarkantha",9978944390 | ektaedu.inst@gmail.com,https://www.arrdekta.org/,Gujarat
40,"Atmiya University, Faculty of Engineering and Technology",B.Tech,Rajkot,"Kalawad Road, Rajkot",0281-2563445 | admissions@atmiyauni.ac.in,https://atmiyauni.ac.in/,Gujarat
41,Asha M. Tarsadia Institute of Computer Science & Technology,B.Tech,Surat,"Maliba Campus, Gopal Vidyanagar, Bardoli-Mahuva Road, Tarsadi",9909678400 | director.amtics@utu.ac.in,https://utu.ac.in/AMTICS/index.html,Gujarat
42,B.H. Gardi College of Engineering & Technology,B.Tech,Jamnagar,"Gardi Vidyapith Campus, Rajkot-Kalawad Highway, Opp. Arya Club, Village: Anandpar",9875137157 | admissionbhgcet@gardividyapith.ac.in,https://www.gardividyapith.ac.in/,Gujarat
43,Bhagwan Arihant Institute of Technology,B.Tech,Surat,"149, Vip Road, Near E-Space, Bharthana, Vesu, Surat",0261-6770104 | director.bait@bmusurat.ac.in,https://www.bmusurat.ac.in/,Gujarat
44,Bhagwan Mahavir College of Engineering and Technology,B.Tech,Surat,"149, Vip Road, Near E-Space, Bharthana, Vesu, Surat",0261-6770142 | admin.bmcet@bmusurat.ac.in,https://www.bmusurat.ac.in/,Gujarat
45,C.U. Shah College of Engineering & Technology,B.Tech,Surendranagar,"Surendranagar - Ahmedabad State Highway, Near Kothariya Village, Wadhwan City",8905101234 | studentoffice@cushahuniversity.org,https://www.cushahuniversity.ac.in/,Gujarat
46,C. K. Pithawala College of Engineering & Technology,B.Tech,Surat,"Opposite Surat Airport, Behind Dps School, Near Malvan Mandir, Dumas Road, Surat",6355055839 | ckpcet@yahoo.co.in,https://www.ckpcet.ac.in/,Gujarat
47,Central Institute of Petrochemicals Engineering & Technology,B.Tech,Ahmedabad,"Plot No. 630, Phase- IV, GIDC, Vatva, Ahmedabad",+91-79-40103902 | Ahmedabad@cipet.gov.in,https://www.cipet.gov.in/centres/cipet-ahmedabad,Gujarat
48,Chhotubhai Gopalbhai Patel Institute of Technology,B.Tech,Surat,"Maliba Campus, Bardoli-Mahuva Road",9925992363 | director.cgpit@utu.ac.in,https://cgpit-bardoli.edu.in/,Gujarat
49,Marwadi University,"B.Tech, MBA",Rajkot,"Rajkot-Morbi Road, At & Po: Gauridad, Rajkot, Gujarat 360003",0281-7123456 | info@marwadiuniversity.ac.in,https://www.marwadiuniversity.ac.in/,Gujarat
50,PP Savani University,B.Tech,Surat,"NH 8, GETCO, Near Biltech, Village: Dhamdod, Kosamba, Surat, Gujarat 394125",9879602333 | info@ppsu.ac.in,https://www.ppsu.ac.in/,Gujarat
51,Silver Oak University,B.Tech,Ahmedabad,"Near Bhavik Publication, Gota, Ahmedabad, Gujarat 382481",079-66046300 | info@silveroakuni.ac.in,https://silveroakuni.ac.in/,Gujarat
52,Indus University,B.Tech,Ahmedabad,"Rancharda, Via: Thaltej, Ahmedabad, Gujarat 382115",079-69025000 | info@indusuni.ac.in,https://indusuni.ac.in/,Gujarat
53,Anant National University,B.Tech,Ahmedabad,"Sanskardham Campus, Bopal-Ghuma-Sanand Road, Ahmedabad, Gujarat 382115",02717-718400 | info@anu.edu.in,https://anu.edu.in/,Gujarat
54,Swarrnim Startup and Innovation University,B.Tech,Gandhinagar,"A/907, Uvarsad-Vavol Road, Uvarsad, Gandhinagar, Gujarat 382422",9512343333 | info@swarrnim.edu.in,https://www.swarrnim.edu.in/,Gujarat
55,Ganpat University,"B.Tech, MBA",Mehsana,"Ganpat Vidyanagar, Mehsana-Gozaria Highway, Kherva, Gujarat 384012",02762-286080 | info@ganpatuniversity.ac.in,https://www.ganpatuniversity.ac.in/,Gujarat
56,CEPT University,B.Tech,Ahmedabad,"Kasturbhai Lalbhai Campus, University Road, Navrangpura, Ahmedabad, Gujarat 380009",079-26302470 | enquiries@cept.ac.in,https://cept.ac.in/,Gujarat
57,Navrachana University,B.Tech,Vadodara,"Vasna Bhayli Road, Vadodara, Gujarat 391410",0265-6170100 | nuv@nuv.ac.in,https://nuv.ac.in/,Gujarat
58,UKA Tarsadia University,B.Tech,Bardoli,"Maliba Campus, Gopal Vidyanagar, Bardoli-Mahuva Road, Tarsadi, Bardoli, Gujarat 394350",02625-290074 | ceo@utu.ac.in,https://utu.ac.in/,Gujarat
59,Gati Shakti Vishwavidyalaya,B.Tech,Vadodara,"Gati Shakti Vishwavidyalaya, Lalbaug, Vadodara, Gujarat 390004",0265-2642044 | info@gsv.ac.in,https://www.gsv.ac.in/,Gujarat
60,Sardar Patel University,B.Tech,Anand,"Vallabh Vidyanagar, Anand, Gujarat 388120",02692-226801 | registrar@spuvvn.edu,https://www.spuvvn.edu/,Gujarat
61,Lalbhai Dalpatbhai College of Engineering,B.Tech,Ahmedabad,"No.120, Circular Road, Opp Gujarat University, Navrangpura, Ahmedabad",079-26306752 | ldce_ahmd-dte@gujarat.gov.in,https://ldce.ac.in/,Gujarat
62,Vishwakarma Government Engineering College,B.Tech,Ahmedabad,"Visat Three Roads, Sabarmati - Koba Hwy, Chandkheda, Ahmedabad",079-23293866 | office@vgecg.ac.in,https://www.vgecg.ac.in/,Gujarat
63,Government Engineering College Gandhinagar,B.Tech,Gandhinagar,"Nr. Animal Vaccine Institute, Sector-28, Gandhinagar",079-23215167 | gec-gnagar-dte@gujarat.gov.in,https://www.gecg28.ac.in/,Gujarat
64,Government Engineering College Rajkot,B.Tech,Rajkot,"Mavdi - Kankot Rd, Near Hanuman Mandir, Kankot Village, Rajkot",0281-2924064 | gec-rajkot-dte@gujarat.gov.in,https://gecrajkot.ac.in/,Gujarat
65,Government Engineering College Modasa,B.Tech,Aravalli,"Shamalji Road, Modasa",02774-242634 | modasa_engg@yahoo.co.in,https://www.gecmodasa.ac.in/,Gujarat
66,Government Engineering College Palanpur,B.Tech,Banaskantha,"Ahmedabad-Palanpur Highway, At: Jagana, Palanpur",02742-220005 | gec-palanpur-dte@gujarat.gov.in,https://www.gecpalanpur.ac.in/,Gujarat
67,Government Engineering College Patan,B.Tech,Patan,"At & Post - Katpur, Taluka & Dist - Patan",02766-291561 | principal-gec-patan-dte@gujarat.gov.in,https://www.gecpatan.ac.in/,Gujarat
68,Government Engineering College Bhuj,B.Tech,Kutch,"New Rawalwadi Relocation Site, Mirzapar Road, Bhuj",02832-231164 | gec-bhuj-dte@gujarat.gov.in,https://www.gecbhuj.ac.in/,Gujarat
69,Government Engineering College Dahod,B.Tech,Dahod,"Jhalod Road, Dahod",02673-263780 | gec-dahod-dte@gujarat.gov.in,https://www.gecdahod.ac.in/,Gujarat
70,Government Engineering College Godhra,B.Tech,Panchmahal,"Village Nasirpur, P.O. Govindi, Godhra Lunavada Road, Godhra",02672-257500 | gec-godhra-dte@gujarat.gov.in,https://gecgd.cteguj.in/,Gujarat
71,Government Engineering College Valsad,B.Tech,Valsad,"Between B.K.M. Science College & Government Polytechnic, Tithal Road, Valsad",02632-241960 | gec-valsad-dte@gujarat.gov.in,https://www.gecv.ac.in/,Gujarat
72,Government Engineering College Bharuch,B.Tech,Bharuch,"Old N.H 8 Bholav, Bharuch",02642-227054 | gec-bharuch-dte@gujarat.gov.in,https://www.gecbharuch.com/,Gujarat
73,Shantilal Shah Engineering College,B.Tech,Bhavnagar,"Sidsar Campus, P.O. Vartej, Bhavnagar",0278-2445509 | ssec-bhav-dte@gujarat.gov.in,https://www.ssgec.ac.in/,Gujarat
74,Lalbhai Dalpatbhai College of Engineering,B.Tech,Ahmedabad,"No.120, Circular Road, Opp Gujarat University, Navrangpura, Ahmedabad",079-26306752 | ldce_ahmd-dte@gujarat.gov.in,https://ldce.ac.in/,Gujarat
75,Birla Vishvakarma Mahavidyalaya,B.Tech,Anand,Vallabh Vidyanagar,02692-230104 | principal@bvmengineering.ac.in,https://www.bvmengineering.ac.in/,Gujarat
76,The Maharaja Sayajirao University of Baroda,B.Tech,Vadodara,"Pratapgunj, Vadodara, Gujarat 390002",0265-2795555 | info@msubaroda.ac.in,https://www.msubaroda.ac.in/,Gujarat
77,Sarvajanik College of Engineering and Technology,B.Tech,Surat,"Dr. R.K. Desai Marg, Opp. Mission Hospital, Athwalines, Surat",0261-2240146 | scet@scet.ac.in,https://www.scet.ac.in/,Gujarat
78,G H Patel College of Engineering & Technology,B.Tech,Anand,"Bakrol Road, Vallabh Vidyanagar",02692-231651 | principal@gcet.ac.in,https://www.gcet.ac.in/,Gujarat
79,Shri Sadvidya Mandal Institute of Technology,B.Tech,Bharuch,"College Campus, Old N.H. No. 8, Bharuch",02642-245864 | ssmit_bharuch@yahoo.co.in,https://ssmit.co.in/,Gujarat
80,Vadodara Institute of Engineering,B.Tech,Vadodara,"Halol Road, Kotambi, Waghodia, Vadodara",0265-3915900 | vieengineering@gmail.com,https://vier.org.in/,Gujarat
81,Mahatma Gandhi Institute of Technical Education and Research Centre,B.Tech,Navsari,"NPPE Campus, Bhanunagar, Eru-Aat Road, Post Bhutsad, Ta Jalalpore, Navsari",02637-656313 | mgiter@gmail.com,https://www.mgiter.com/,Gujarat
82,Sigma Institute of Engineering,B.Tech,Vadodara,"At Bakrol, Ajwa-Nimeta Road, Ta Waghodia, Vadodara",0265-2920606 | sigma_bakrol@yahoo.co.in,https://sigma.ac.in/,Gujarat
83,S S Agrawal Institute of Engineering & Technology,B.Tech,Navsari,"S S Agrawal College Campus, Veeranjali Marg, Opp Vidya Kunj High School, Devina Park Road, Gandevi Road, Navsari",02637-232667 | ssaiet@yahoo.co.in,https://agrawalcolleges.org/,Gujarat
84,Pacific School of Engineering,B.Tech,Surat,"Plot No 87,91,92,96, Sanki Palsana, Surat",02622-260604 | pacific.soe@gmail.com,https://www.pacific-soe.ac.in/,Gujarat
85,Smt. S R Patel Engineering College,B.Tech,Mehsana,"At & Po Dabhi, Ta Uniha, Mehsana",02762-275430 | info@srpec.org.in,https://www.srpec.org.in/,Gujarat
86,Shankersinh Vaghela Bapu Institute of Technology,B.Tech,Gandhinagar,"Gandhinagar-Mansa Road, Po Vasan, Gandhinagar",079-23976170 | info@svbit.ac.in,https://bapugkv.ac.in/,Gujarat
87,Marwadi Education Foundation’s Group of Institutions,B.Tech,Rajkot,"Rajkot-Morbi Road, At & Po: Gauridad, Rajkot",0281-2923112 | info@marwadieducation.edu.in,https://www.marwadieducation.edu.in/,Gujarat
