#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Hyderabad,B.Tech,Sangareddy,"Kandi, Sangareddy, Telangana 502284",040-23016033 | registrar@iith.ac.in,https://www.iith.ac.in/,Telangana
2,National Institute of Technology Warangal,B.Tech,Warangal,"NIT Campus, Warangal, Telangana 506004",0870-2459191 | registrar@nitw.ac.in,https://www.nitw.ac.in/,Telangana
3,International Institute of Information Technology Hyderabad,B.Tech,Hyderabad,"Gachibowli, Hyderabad, Telangana 500032",040-66531000 | info@iiit.ac.in,https://www.iiit.ac.in/,Telangana
4,Birla Institute of Technology and Science Hyderabad,B.Tech,Hyderabad,"Shamshabad, Hyderabad, Telangana 500078",040-66303801 | info@hyderabad.bits-pilani.ac.in,https://www.bits-pilani.ac.in/hyderabad/,Telangana
5,Jawaharlal Nehru Technological University Hyderabad,B.Tech,Hyderabad,"Kukatpally, Hyderabad, Telangana 500085",040-23158661 | pa2registrar@jntuh.ac.in,https://jntuh.ac.in/,Telangana
6,"University College of Engineering, Osmania University",B.Tech,Hyderabad,"Osmania University Main Rd, Amberpet, Hyderabad, Telangana 500007",040-27098254 | principal@uceou.edu,https://www.uceou.edu/,Telangana
7,VNR Vignana Jyothi Institute of Engineering and Technology,B.Tech,Medchal-Malkajgiri,"Bachupally, Hyderabad, Telangana 500090",040-23042758 | postbox@vnrvjiet.ac.in,https://www.vnrvjiet.ac.in/,Telangana
8,Mahatma Gandhi Institute of Technology,B.Tech,Ranga Reddy,"Gandipet, Hyderabad, Telangana 500075",040-24193057 | principal@mgit.ac.in,https://mgit.ac.in/,Telangana
9,Ellenki College of Engineering and Technology,B.Tech,Sangareddy,"Patelguda, Hyderabad, Telangana 502319",08455-226555 | principal@ecet.ac.in,https://www.ecet.ac.in/,Telangana
10,Rajiv Gandhi University of Knowledge Technologies,B.Tech,Nirmal,"Basar, Nirmal, Telangana 504107",08752-243344 | registrar@rgukt.ac.in,https://www.rgukt.ac.in/,Telangana
11,Vignana Bharathi Institute of Technology,B.Tech,Medchal-Malkajgiri,"Aushapur, Hyderabad, Telangana 501301",08415-200419 | principal@vbit.co.in,https://vbithyd.ac.in/,Telangana
