#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Aman Bhalla Institute of Engineering & Technology,"B.Tech (Civil, Mechanical, Electrical, CSE)",Pathankot,"Kotli, Pathankot-Amritsar Highway, Pathankot, Punjab 145025","principalabietptk@gmail.com, 9876102549",https://abgi.co.in/,Punjab
2,Amritsar College of Engineering & Technology,"B.Tech (CSE, ECE, ME, CE), MBA",Amritsar,"12 Km Stone, Amritsar-Jalandhar GT Road, Amritsar – 143001","acetrc_ptu@acetamritsar.org, 9417800072",http://www.acetamritsar.ac.in/,Punjab
3,Anand College of Engineering & Management,"B.Tech (ME, CE, CSE, ECE)",Kapurthala,"Opposite Rail Coach Factory, Sultanpur Road, Kapurthala","acemkpt@gmail.com, 9814673115",http://www.acem.org.in/,Punjab
4,Apeejay Institute of Management & Engineering Technical Campus,"B.Tech (CSE, ECE), MBA",Jalandhar,"Rama Mandi-Hoshiarpur Road, Jalandhar-144007","aim.jln@apj.edu, 9569-181-181",http://aimetc.apeejay.edu,Punjab
5,Aryans College of Engineering,"B.Tech (CE, CSE, EE, ME), MBA",Patiala,"Vill. Nepra, Chandigarh-Patiala Road, PO Chamaru, Teh. Rajpura, Distt. Patiala","info@aryans.edu.in, 84270-22288",www.aryans.edu.in,Punjab
6,Baba Banda Singh Bahadur Engineering College,"B.Tech (CSE, ECE, ME, EE, CE), MBA",Fatehgarh Sahib,"Jyoti Sarup More, Fatehgarh Sahib, Punjab- 140407","principal@bbsbec.ac.in, 9814051870",https://bbsbec.edu.in,Punjab
7,Baba Hira Singh Bhattal Institute of Engineering & Technology,"B.Tech (CSE, ECE, ME, EE)",Sangrur,"Sunam- Jakhal Road, Lehragaga, Distt. Sangrur","bhsbiet.director@gmail.com, 8146899877",www.bhsbiet.ac.in,Punjab
8,Baba Kuma Singh Ji Engineering College,"B.Tech (CSE, ECE, ME, CE)",Amritsar,"Hoshiar Nagar, Attari Road, Amritsar","bksjec@yahoo.com, 9501259955",http://bksjec.in,Punjab
9,Beant College of Engineering & Technology,"B.Tech (CSE, ME, CE, Biotechnology, Chemical, ECE, IT)",Gurdaspur,"Post Box No. 13, Gurdaspur-Pathankot Highway, Gurdaspur–143521","principalbcetgurdaspur@yahoo.com, 8872916665",http://www.bcetgsp.ac.in/,Punjab
10,Bhai Gurdas Institute of Engineering & Technology,"B.Tech (CE, CSE, EE, ECE, ME, IT), MBA",Sangrur,"NH-7, Sangrur Patiala Main Road, Near Ghabdan, Sangrur, 148001","info@bgiet.ac.in, 9814847492",https://bhaigurdas.org,Punjab
11,Bhutta College of Engineering & Technology,"B.Tech (CSE, ECE, EE, ME)",Ludhiana,"Alamgir Rara Sahib Road, Village & Post Office: Bhutta, District: Ludhiana – 141206","bcetldh@rediffmail.com, 9814798555",http://www.bcetldh.org,Punjab
12,BIS College of Engineering & Technology,"B.Tech (CSE, ECE, ME, CE)",Moga,"Kote-Ise-Khan, Gagra, Moga, Pincode 142043","principalcoet@bisinstitutes.com, 8725074103",www.bisinstitutes.com,Punjab
13,CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING,"M.Tech (VLSI, Embedded Systems)",Mohali,S.A.S. Nagar (Mohali),"dkjain@cdac.in, 0172-2237052",http://www.cdac.in,Punjab
14,CGC College of Engineering,"B.Tech (CSE, ECE, ME, CE)",Mohali,Landran-Sirhind Highway Jhanjeri Tehsil Kharar Mohali Punjab 140307,"cecm.ece.psm@gmail.com, 9781925245",http://cecmohali.org,Punjab
