#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Patna,B.Tech,Patna,"IIT Patna, Bihta, Patna, Bihar 801106",06115-233011,https://www.iitp.ac.in/,Bihar
2,National Institute of Technology Patna,B.Tech,Patna,"Ashok Rajpath, Patna, Bihar 800005",0612-2371715,https://www.nitp.ac.in/,Bihar
3,Indian Institute of Information Technology Bhagalpur,B.Tech,Bhagalpur,"Sabour, Bhagalpur, Bihar 813210",0631-2281060,https://www.iiitbh.ac.in/,Bihar
4,Birla Institute of Technology Mesra Patna,B.Tech,Patna,"Near Patna Airport, Patna, Bihar 800014",0612-2223545,https://www.bitmesra.ac.in/,Bihar
5,Bhagalpur College of Engineering,B.Tech,Bhagalpur,"Sabour, Bhagalpur, Bihar 813210",0641-2451063,https://www.bcebhagalpur.ac.in/,Bihar
6,Muzaffarpur Institute of Technology,B.Tech,Muzaffarpur,"Laxmi Chowk, Brahampura, Muzaffarpur, Bihar 842003",0621-2262442,https://www.mitmuzaffarpur.org/,Bihar
7,Nalanda College of Engineering,B.Tech,Nalanda,"Chandi, Nalanda, Bihar 803108",06111-273671,https://www.ncechandi.ac.in/,Bihar
8,Gaya College of Engineering,B.Tech,Gaya,"Srikrishna Nagar, Khizersarai, Gaya, Bihar 823003",0631-2431868,https://www.gcegaya.ac.in/,Bihar
9,Motihari College of Engineering,B.Tech,East Champaran,"Fursatpur Bariyarpur, Motihari, Bihar 845401",06252-290555,https://www.mcemotihari.ac.in/,Bihar
10,Darbhanga College of Engineering,B.Tech,Darbhanga,"Mabbi, P.O. Lal Sahpur, Darbhanga, Bihar 846005",06272-240988,https://www.dce-darbhanga.org/,Bihar
11,Loknayak Jai Prakash Institute of Technology,B.Tech,Saran,"Chhapra, Bihar 841301",06152-263188,https://www.lnjpit.ac.in/,Bihar
12,Rashtrakavi Ramdhari Singh Dinkar College of Engineering,B.Tech,Begusarai,"Begusarai, Bihar 851134",06243-290030,https://www.rrsdce.ac.in/,Bihar
13,B P Mandal College of Engineering,B.Tech,Madhepura,"Sihpur, Madhepura, Bihar 852113",06476-223012,https://www.bpmce.ac.in/,Bihar
14,Saharsa College of Engineering,B.Tech,Saharsa,"Saharsa, Bihar 852201",06478-224439,https://www.sce-saharsa.org/,Bihar
15,Sitamarhi Institute of Technology,B.Tech,Sitamarhi,"Sitamarhi, Bihar 843302",Not Available (after search),Not Available (after search),Bihar
16,Shershah College of Engineering,B.Tech,Rohtas,"Sasaram, Bihar 821113",06184-221477,https://sce-sasaram.org/,Bihar
17,Supaul College of Engineering,B.Tech,Supaul,"Supaul, Bihar 852131",Not Available (after search),Not Available (after search),Bihar
18,Purnea College of Engineering,B.Tech,Purnia,"Purnia, Bihar 854303",Not Available (after search),Not Available (after search),Bihar
19,Katihar Engineering College,B.Tech,Katihar,"Katihar, Bihar 854109",Not Available (after search),Not Available (after search),Bihar
20,Government Engineering College Jamui,B.Tech,Jamui,"Jamui, Bihar 811313",Not Available (after search),Not Available (after search),Bihar
21,Government Engineering College Banka,B.Tech,Banka,"Banka, Bihar 813102",Not Available (after search),Not Available (after search),Bihar
22,Government Engineering College Buxar,B.Tech,Buxar,"Buxar, Bihar 802103",Not Available (after search),Not Available (after search),Bihar
23,Government Engineering College Sheikhpura,B.Tech,Sheikhpura,"Sheikhpura, Bihar 811105",Not Available (after search),Not Available (after search),Bihar
24,Government Engineering College Lakhisarai,B.Tech,Lakhisarai,"Lakhisarai, Bihar 811311",Not Available (after search),Not Available (after search),Bihar
25,Government Engineering College Sheohar,B.Tech,Sheohar,"Sheohar, Bihar 843329",Not Available (after search),Not Available (after search),Bihar
26,Government Engineering College Madhubani,B.Tech,Madhubani,"Madhubani, Bihar 847235",Not Available (after search),Not Available (after search),Bihar
27,Government Engineering College Jehanabad,B.Tech,Jehanabad,"Jehanabad, Bihar 804408",Not Available (after search),Not Available (after search),Bihar
28,Government Engineering College Arwal,B.Tech,Arwal,"Arwal, Bihar 804401",Not Available (after search),Not Available (after search),Bihar
29,Government Engineering College Aurangabad,B.Tech,Aurangabad,"Aurangabad, Bihar 824101",Not Available (after search),Not Available (after search),Bihar
30,Government Engineering College Nawada,B.Tech,Nawada,"Nawada, Bihar 805130",Not Available (after search),Not Available (after search),Bihar
31,Government Engineering College Gopalganj,B.Tech,Gopalganj,"Gopalganj, Bihar 841428",Not Available (after search),Not Available (after search),Bihar
32,Government Engineering College Khagaria,B.Tech,Khagaria,"Khagaria, Bihar 851205",Not Available (after search),Not Available (after search),Bihar
33,Government Engineering College Vaishali,B.Tech,Vaishali,"Hajipur, Bihar 844102",Not Available (after search),Not Available (after search),Bihar
34,Government Engineering College Bhojpur,B.Tech,Bhojpur,"Arrah, Bihar 802301",Not Available (after search),Not Available (after search),Bihar
35,Government Engineering College Siwan,B.Tech,Siwan,"Siwan, Bihar 841226",Not Available (after search),Not Available (after search),Bihar
36,Government Engineering College Madhubani,B.Tech,Madhubani,"Madhubani, Bihar 847235",Not Available (after search),Not Available (after search),Bihar
37,Government Engineering College Kaimur,B.Tech,Kaimur,"Bhabua, Bihar 821101",Not Available (after search),Not Available (after search),Bihar
38,Government Engineering College Munger,B.Tech,Munger,"Munger, Bihar 811201",Not Available (after search),Not Available (after search),Bihar
39,Government Engineering College West Champaran,B.Tech,West Champaran,"Bettiah, Bihar 845438",Not Available (after search),Not Available (after search),Bihar
