#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,"Government College of Engineering, Keonjhar",B.Tech,Keonjhar,"Jamunalia, Po - Old Town, Dist - Keonjhar, Odisha 758002",7978639143,https://gcekjr.ac.in/,Odisha
2,Central Institute of Petrochemicals Engineering and Technology,B.Tech,Khurda,"Plot No - B-25, CNI Complex, Patia, Dist - Khurda, Odisha 751024",0674-2743465 | bhubaneswar@cipet.gov.in,https://cipet.gov.in/centres/cipet-sstp-bhubaneswar/contact-us.php,Odisha
3,"Government College of Engineering, Kalahandi",B.Tech,Kalahandi,"Bandopala, Risigaon P.O Bhawanipatna, Kalahandi, Odisha 766002",06670-240101 | principal@gcekbpatna.ac.in,https://gcekbpatna.ac.in/,Odisha
4,"Parala Maharaja Engineering College, Berhampur",B.Tech,Ganjam,"Sitalapalli, Berhampur, Ganjam, Odisha 761003",0680-2290461 | pmec.berhampur@yahoo.com,https://www.pmec.ac.in/,Odisha
5,"Madhusudhan Institute of Co-Operative Management, Bhubaneswar",MBA,Khurda,"Unit-8, Nayapalli, Bhubaneswar, Odisha 751012",0674-2562825 | micm_bhubaneswar@yahoo.co.in,https://micm.ac.in/,Odisha
6,"Institute of Management & Information Technology, Cuttack",MBA,Cuttack,"Bose Campus, Cuttack, Odisha 753007",0671-2414711 | imitcuttack@yahoo.com,https://www.imit.ac.in/,Odisha
7,"College of IT & Management Education, Bhubaneswar",MBA,Khurda,"Plot No-4, Sector-A, Zone-B, Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010",0674-2581971 | cime_bbsr@rediffmail.com,https://www.cime.ac.in/,Odisha
8,"Centre for UG & PG Studies, BPUT, Odisha",B.Tech,Sundergarh,"Chhend, Rourkela, Odisha 769015",0661-2482556 | students@bput.ac.in,https://www.bput.ac.in/,Odisha
9,"Indira Gandhi Institute of Technology, Sarang",B.Tech,Dhenkanal,"Sarang, Dhenkanal, Odisha 759146",6760-240371 | principal_igit@rediffmail.com,https://www.igitsarang.ac.in/,Odisha
10,"Seemanta Engineering College, Mayurbhanj",B.Tech,Mayurbhanj,"Mayur Vihar, Jharpokharia, Mayurbhanj, Odisha 757086",06791-222300 | seemantaenggcollege@gmail.com,https://www.seemantaengg.ac.in/,Odisha
