#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Bhilai Institute of Technology (BIT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Information Technology, Mechanical Engineering, Artificial Intelligence & Machine Learning, Data Science) + MBA (Marketing, Finance, HR, Operations)",Durg,"Bhilai House, G.E. Road, Durg, Chhattisgarh 491001",+91-788-2359297 | bit@bitdurg.ac.in,https://bitdurg.ac.in/,Chattisgarh
2,Chouksey Engineering College (CEC),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering) + MBA",Bilaspur,"Lal Khadan, Masturi Road, Bilaspur, Chhattisgarh",Not Available (after search),https://cecbilaspur.ac.in/,Chattisgarh
3,Chhatrapati Shivaji Institute of Technology (CSIT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Communication Engineering, Mechanical Engineering, Information Technology)",Durg,"Shivaji Nagar, Kolihapuri, P.O.-Pisegaon, Balod Road, Durg, Chhattisgarh",Not Available (after search),https://csitdurg.in/,Chattisgarh
4,Chhattisgarh Institute of Technology (CIT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, Electrical Engineering)",Rajnandgaon,"Near Rungta Mines, Garhumaria, Rajnandgaon, Chhattisgarh 491441",+91-98271-93256 | cit_rjn@yahoo.co.in,https://citrajnandgaon.ac.in/,Chattisgarh
5,Disha Institute of Management And Technology (DIMAT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering, Electrical Engineering, Information Technology) + MBA",Raipur,"Satya Vihar, Vidhan Sabha- Chandrakhuri Marg, Raipur, Chhattisgarh",+91-7723018700 | info@desindia.in,https://dimatindia.in/,Chattisgarh
6,Govt. Engineering College (GEC-BSP),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering, Mining Engineering)",Bilaspur,"Koni, Bilaspur, Chhattisgarh 495009",+91-7752-260289 | principal@gecbsp.ac.in,https://gecbsp.ac.in/,Chattisgarh
7,Govt. Engineering College (GEC-JDP),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering, Mining Engineering)",Bastar,"Dharampura-3, Jagdalpur, Chhattisgarh 494005",+91-7782-229439 | principalgecjdpr@gmail.com,https://gecjdp.ac.in/,Chattisgarh
8,Kirodimal Institute of Technology (KIT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Mechanical Engineering, Mining Engineering)",Raigarh,"Vill-Garhumaria, Raigarh, Chhattisgarh 496001",+91-7762-233532 | kit_raigarh@rediffmail.com,https://kitraigarh.ac.in/,Chattisgarh
9,Christian College of Engineering & Technology (CCET),"B.Tech (Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering)",Durg,"P.O. Industrial Estate, Kailash Nagar, Bhilai, Chhattisgarh 490026",+91-788-2286662 | ccet@ccetbhilai.ac.in,https://ccetbhilai.ac.in/,Chattisgarh
10,Raipur Institute of Technology (RIT),"B.Tech (Biotechnology, Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electronics & Telecommunication Engineering, Electrical & Electronics Engineering, Information Technology, Mechanical Engineering) + MBA",Raipur,"Chhatauna, Mandir Hasaud, Raipur, Chhattisgarh 492101",+91-93297-73028 | info@rit.edu.in,https://rit.edu.in/,Chattisgarh
