#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Indian School of Mines Dhanbad,B.Tech,Dhanbad,"IIT (ISM), Dhanbad, Jharkhand 826004",0326-2235001 | registrar@iitism.ac.in,https://www.iitism.ac.in/,Jharkhand
2,"Birla Institute of Technology, Mesra",B.Tech,Ranchi,"Mesra, Ranchi, Jharkhand 835215",0651-2275444 | registrar@bitmesra.ac.in,https://www.bitmesra.ac.in/,Jharkhand
3,National Institute of Technology Jamshedpur,B.Tech,Jamshedpur,"NIT Jamshedpur, P.O. RIT Jamshedpur, Jharkhand 831014",0657-2373407 | registrar@nitjsr.ac.in,https://www.nitjsr.ac.in/,Jharkhand
4,"National Institute of Advanced Manufacturing Technology, Ranchi",B.Tech,Ranchi,"Hatia, Ranchi, Jharkhand 834003",0651-2290859 | nifftranchi@gmail.com,https://www.nifft.ac.in/,Jharkhand
5,"BIT Sindri, Dhanbad",B.Tech,Dhanbad,"P.O. Sindri Institute, Sindri, Dhanbad, Jharkhand 828123",0326-2350495 | director@bitsindri.ac.in,https://www.bitsindri.ac.in/,Jharkhand
6,"Amity University, Ranchi",B.Tech,Ranchi,"City Campus, Nivaranpur, Main Road, Ranchi, Jharkhand 834001",080-4740 9000 | info@rnc.amity.edu,https://www.amity.edu/ranchi/,Jharkhand
7,"Cambridge Institute of Technology, Ranchi",B.Tech,Ranchi,"Tatisilwai, Ranchi, Jharkhand 835103",0651-2265608 | info@citranchi.ac.in,https://www.citranchi.ac.in/,Jharkhand
8,"Indian Institute of Information Technology, Ranchi",B.Tech,Ranchi,"3rd Floor, Pradhan Towers, Main Road, Ranchi, Jharkhand 834001",Not Available (after search),https://iiitranchi.ac.in/,Jharkhand
9,"ICFAI University, Jharkhand",B.Tech,Ranchi,"Plot No. 2065, Daladali Chowk, Simalia, Near Ring Road, Ranchi, Jharkhand 835222",0651-5130340 | registrar@iujharkhand.edu.in,https://www.iujharkhand.edu.in/,Jharkhand
10,"AISECT University, Hazaribagh",B.Tech,Hazaribagh,"Matwari Chowk, in front of Gandhi Nagar, Hazaribagh, Jharkhand 825301",8292243932 | info@aisectuniversityjharkhand.ac.in,https://www.aisectuniversityjharkhand.ac.in/,Jharkhand
11,"Alice Institute of Technology, Ranchi",B.Tech,Ranchi,"Nawagarh, Angara, Ranchi, Jharkhand 835103",0651-2265608 | info@aitranchi.com,Not Available (after search),Jharkhand
12,"Al Kabir Polytechnic, Jamshedpur",B.Tech,Jamshedpur,"Kabirnagar, Kopali, Via Mango, Jamshedpur, Jharkhand 831012",0657-260092 | info@alkabir.in,https://www.alkabir.in/,Jharkhand
13,"ARKA Jain University, Seraikela",B.Tech,Seraikela,"Opposite Kerala Public School, Mohanpur, Gamharia, Dist Seraikela Kharsawan, Jharkhand 832108",0657-2220285 | info@arkajainuniversity.ac.in,https://arkajainuniversity.ac.in/,Jharkhand
14,"Awadh College of Architecture, Jamshedpur",B.Tech,Jamshedpur,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
15,"Babu Dinesh Singh University, Garhwa",B.Tech,Garhwa,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
16,"BA College of Engineering and Technology, East Singhbhum",B.Tech,East Singhbhum,"Ghutia, P.O. Barwa, East Singhbhum, Jharkhand 832107",0657-2442532 | info@bacet.ac.in,https://www.bacet.ac.in/,Jharkhand
17,"Baharagora Polytechnic, Baharagora",B.Tech,East Singhbhum,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
18,"BIT Deoghar - Birla Institute of Technology Extension Centre, Deoghar",B.Tech,Deoghar,"P.O. Ratanpur, Jasidih, Dist. Deoghar, Jharkhand 814142",06432-292565 | bitdeoghar@bitmesra.ac.in,https://bitdeoghar.ac.in/,Jharkhand
19,"Birsa Agricultural University, Ranchi",B.Tech,Ranchi,"Kanke, Ranchi, Jharkhand 834006",0651-2450500 | registrar@bau-ranchi.org,https://www.bauranchi.org/,Jharkhand
20,"BITT Polytechnic, Ranchi",B.Tech,Ranchi,"Getlatu, Ranchi, Jharkhand 835217",0651-2273067 | bittpolytechnic@yahoo.com,https://www.bittpolytechnic.com/,Jharkhand
21,"Cambridge Institute of Polytechnic, Ranchi",B.Tech,Ranchi,"Baheya, Angara, Ranchi, Jharkhand 835103",0651-2265608 | info@citranchi.ac.in,https://www.citranchi.ac.in/,Jharkhand
22,"Capital University, Koderma",B.Tech,Koderma,"Subhash Chandra Bose Chowk, Chitragupt Nagar, Jhumri Telaiya, Koderma, Jharkhand 825409",7339800111 | info@capitaluniversity.edu.in,https://capitaluniversity.edu.in/,Jharkhand
23,"Central Institute of Plastics Engineering and Technology, Ranchi",B.Tech,Ranchi,"Hehal, Ranchi, Jharkhand 834005",0651-2512250 | cipetranchi@gmail.com,https://cipet.gov.in/centres/cipet-ranchi/contact-us.php,Jharkhand
24,"Central University of Jharkhand, Ranchi",B.Tech,Ranchi,"Brambe, Ranchi, Jharkhand 835205",06531-294160 | registrar@cuj.ac.in,https://cuj.ac.in/,Jharkhand
25,"Centre For Bioinformatics, Ranchi",B.Tech,Ranchi,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
26,"Chaibasa Engineering College, Chaibasa",B.Tech,West Singhbhum,"Village - Hekru, P.O. - Kharswan, Dist - Seraikela Kharsawan, Jharkhand 833202",06582-256666 | principal@technoindiachaibasa.org,https://technoindiachaibasa.org/,Jharkhand
27,"Chandil Polytechnic, Chandil",B.Tech,Seraikela Kharsawan,"Chandil, Seraikela Kharsawan, Jharkhand 832402",Not Available (after search),Not Available (after search),Jharkhand
28,"DAV Institute of Engineering and Technology, Palamu",B.Tech,Palamu,"Daltonganj, Palamu, Jharkhand 822126",06562-290405 | davietpalamau@gmail.com,https://davietpalamau.org/,Jharkhand
29,"Dhanbad Institute of Technology, Dhanbad",B.Tech,Dhanbad,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
30,"Dumka Engineering College, Dumka",B.Tech,Dumka,"Techno India Campus, Dumka, Jharkhand 814101",06434-222222,https://dumkaengineeringcollege.ac.in/,Jharkhand
31,"Durga Soren University, Deoghar",B.Tech,Deoghar,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
32,"Engineering College, Gola",B.Tech,Ramgarh,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
33,"Government Polytechnic, Kharsawan",B.Tech,Seraikela Kharsawan,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
34,"Government Polytechnic, Khutri",B.Tech,Bokaro,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
35,"Government Polytechnic, Koderma",B.Tech,Koderma,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
36,"Government Polytechnic, Lohardaga",B.Tech,Lohardaga,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
37,"Government Polytechnic, Nirsa",B.Tech,Dhanbad,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
38,"Government Polytechnic, Palamu",B.Tech,Palamu,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
39,"Government Polytechnic, Ranchi",B.Tech,Ranchi,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
40,"Government Polytechnic, Sahibganj",B.Tech,Sahibganj,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
41,"Government Tool Room and Training Centre, Dumka",B.Tech,Dumka,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
42,"Government Women's Polytechnic, Bokaro",B.Tech,Bokaro,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
43,"Government Women's Polytechnic, Dumka",B.Tech,Dumka,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
44,"Government Womens Polytechnic, Jamshedpur",B.Tech,Jamshedpur,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
45,"Government Women's Polytechnic, Ranchi",B.Tech,Ranchi,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
46,"Gumla Polytechnic, Gumla",B.Tech,Gumla,Not Available (after search),Not Available (after search),Not Available (after search),Jharkhand
47,"Guru Gobind Singh Educational Society's Technical Campus, Seraikela",B.Tech,Bokaro,"Kandra, Chas, Bokaro, Jharkhand 827013",06542-265200 | principal@ggsestc.ac.in,https://www.ggsestc.ac.in/,Jharkhand
48,"Indo Danish Tool Room, East Singhbhum",B.Tech,East Singhbhum,"M-4 (Part), Phase VI, Tata Kandra Road, Gamharia, Jamshedpur, Jharkhand 832108",0657-2201261 | reach@idtrjamshedpur.com,https://www.idtrjamshedpur.com/,Jharkhand
