#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Jammu,B.Tech,Jammu,"IIT Jammu, Jagti, PO Nagrota, NH-44, Jammu, Jammu & Kashmir 181221",0191-2570387 | registrar@iitjammu.ac.in,https://www.iitjammu.ac.in/,Jammu and Kashmir
2,National Institute of Technology Srinagar,B.Tech,Srinagar,"Hazratbal, Srinagar, Jammu & Kashmir 190006",0194-2422032 | registrar@nitsri.ac.in,https://www.nitsri.ac.in/,Jammu and Kashmir
3,Shri Mata Vaishno Devi University,B.Tech,Reasi,"Kakryal, Katra, Reasi, Jammu & Kashmir 182320",01991-285524 | registrar@smvdu.ac.in,https://www.smvdu.ac.in/,Jammu and Kashmir
4,University of Kashmir,B.Tech,Srinagar,"Hazratbal, Srinagar, Jammu & Kashmir 190006",0194-2272096 | registrar@kashmiruniversity.ac.in,https://www.kashmiruniversity.net/,Jammu and Kashmir
5,University of Jammu,B.Tech,Jammu,"Baba Saheb Ambedkar Road, Jammu Tawi, Jammu, Jammu & Kashmir 180006",0191-2430830 | registrar@jammuuniversity.ac.in,https://www.jammuuniversity.ac.in/,Jammu and Kashmir
6,Baba Ghulam Shah Badshah University,B.Tech,Rajouri,"Rajouri, Jammu & Kashmir 185234",01962-262616 | registrar@bgsbu.ac.in,https://www.bgsbu.ac.in/,Jammu and Kashmir
7,Islamic University of Science and Technology,B.Tech,Pulwama,"1 University Ave, Awantipora, Pulwama, Jammu & Kashmir 192122",01933-247954 | registrar@iust.ac.in,https://www.iust.ac.in/,Jammu and Kashmir
8,Government College of Engineering and Technology Jammu,B.Tech,Jammu,"Chak Bhalwal, Jammu, Jammu & Kashmir 181122",0191-2623087 | principal@gcetjammu.org.in,https://www.gcetjammu.org.in/,Jammu and Kashmir
9,Yogananda College of Engineering & Technology,B.Tech,Jammu,"Gurha Brahmana (Patoli), Akhnoor Road, Jammu, Jammu & Kashmir 181205",0191-2605601 | ycetjammu@gmail.com,https://ycet.org/,Jammu and Kashmir
10,Mahant Bachittar Singh College of Engineering and Technology,B.Tech,Jammu,"Babliana, Jeevan Nagar Road, Miran Sahib, Jammu, Jammu & Kashmir 181101",0191-2262896 | principal@mbscet.org,https://mbscet.org/,Jammu and Kashmir
11,Model Institute of Engineering and Technology,B.Tech,Jammu,"Kot Bhalwal, Jammu, Jammu & Kashmir 181122",0191-2623180 | miet@mietjammu.in,https://www.mietjammu.in/,Jammu and Kashmir
12,SSM College of Engineering,B.Tech,Baramulla,"Parihaspora, Pattan, Baramulla, Jammu & Kashmir 193121",01952-240215 | ssmenggcollege@gmail.com,https://www.ssmengg.edu.in/,Jammu and Kashmir
13,Tawi Engineering College,B.Tech,Gurdaspur,"Shahpurkandi, Pathankot, Gurdaspur, Punjab 145029",01870-263001 | tecpathankot@gmail.com,https://www.tawijammu.in/,Jammu and Kashmir
14,Bhargava College of Engineering and Technology,B.Tech,Samba,"Supwal, Samba, Jammu & Kashmir 184121",01923-241145 | principal@bcet.co.in,https://www.bcet.co.in/,Jammu and Kashmir
15,Dogra Degree College,B.Tech,Samba,"Bari Brahmana, Samba, Jammu & Kashmir 181133",01923-220600 | ddcbsamba@gmail.com,https://dogradegreecollege.in/,Jammu and Kashmir
16,Central University of Jammu,B.Tech,Samba,"Rahya-Suchani (Bagla), Samba, Jammu & Kashmir 181143",01923-249658 | registrar@cujammu.ac.in,https://www.cujammu.ac.in/,Jammu and Kashmir
17,Central University of Kashmir,B.Tech,Srinagar,"Tulmulla, Ganderbal, Srinagar, Jammu & Kashmir 191131",0194-2315296 | registrar@cukashmir.ac.in,https://www.cukashmir.ac.in/,Jammu and Kashmir
18,"College of Engineering and Technology, BGSB University",B.Tech,Rajouri,"Rajouri, Jammu & Kashmir 185234",01962-241016 | registrar@bgsbu.ac.in,https://www.bgsbu.ac.in/,Jammu and Kashmir
19,Masterpro Institute of Technology,B.Tech,Srinagar,"Nowgam, Srinagar, Jammu & Kashmir 190015",Not Available (after search),Not Available (after search),Jammu and Kashmir
20,Tawi Group Of Institutions,B.Tech,Pathankot,"Shahpurkandi, Pathankot, Punjab 145029",01870-263001 | tecpathankot@gmail.com,https://www.tawijammu.in/,Jammu and Kashmir
21,University of Kashmir Department of Management Studies,MBA,Srinagar,"Hazratbal, Srinagar, Jammu & Kashmir 190006",0194-2272096 | mba@kashmiruniversity.ac.in,https://www.kashmiruniversity.net/dms,Jammu and Kashmir
22,The Business School University of Jammu,MBA,Jammu,"University of Jammu, Jammu, Jammu & Kashmir 180006",0191-2430133 | tbsju@gmail.com,https://www.tbsju.in/,Jammu and Kashmir
23,School of Management Studies Baba Ghulam Shah Badshah University,MBA,Rajouri,"Rajouri, Jammu & Kashmir 185234",01962-241003 | sms@bgsbu.ac.in,https://www.bgsbu.ac.in/sms,Jammu and Kashmir
24,Priyadarshini Institute of Management and Science,MBA,Jammu,Not Available (after search),Not Available (after search),Not Available (after search),Jammu and Kashmir
25,SSM College of Engineering MBA,MBA,Baramulla,"Parihaspora, Pattan, Baramulla, Jammu & Kashmir 193121",01952-240215 | ssmenggcollege@gmail.com,https://www.ssmengg.edu.in/mba,Jammu and Kashmir
26,Iqbal Institute of Technology and Management,MBA,Srinagar,"Hyderpora, Srinagar, Jammu & Kashmir 190014",0194-2441947 | info@iitm.org.in,https://iitm.org.in/,Jammu and Kashmir
27,South Campus University of Kashmir,MBA,Anantnag,"High Ground, Fatehgarh, Anantnag, Jammu & Kashmir 192101",01932-228131 | southcampus@uok.edu.in,https://southcampus.uok.edu.in/,Jammu and Kashmir
28,North Campus University of Kashmir,MBA,Baramulla,"Delina, Baramulla, Jammu & Kashmir 193103",0194-2400078 | northcampus@uok.edu.in,https://northcampus.uok.edu.in/,Jammu and Kashmir
29,Zakura Campus University of Kashmir,B.Tech,Srinagar,"Zakura, Hazratbal, Srinagar, Jammu & Kashmir 190006",0194-2272096 | zakura@uok.edu.in,https://zakura.uok.edu.in/,Jammu and Kashmir
30,Kupwara Campus University of Kashmir,MBA,Kupwara,Not Available (after search),Not Available (after search),Not Available (after search),Jammu and Kashmir
