#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Sikkim Manipal Institute of Technology (SMIT),"B.Tech (Computer Science & Engineering, Mechanical Engineering, Civil Engineering, Electrical & Electronics Engineering, Electronics & Communication Engineering, Information Technology, Artificial Intelligence & Data Science) + MBA (Finance, HR, Marketing, Systems, Operations, Project, Quality, Banking, International Business)",East Sikkim,"Majitar, Rangpo, East Sikkim, Sikkim 737136",+91-3592-246353 | admission.smit@smu.edu.in,https://smu.edu.in/smit.html/,Sikkim
2,National Institute of Technology Sikkim (NIT Sikkim),"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Data Science)",South Sikkim,"Barfung Block, Ravangla, South Sikkim, Sikkim 737139",+91-7479013180 | registrar@nitsikkim.ac.in,https://nitsikkim.ac.in/,Sikkim
3,College of Agricultural Engineering and Post Harvest Technology (CAEPHT),"B.Tech (Agricultural Engineering, Food Engineering & Technology)",East Sikkim,"Ranipool, Gangtok, East Sikkim, Sikkim 737135",+91-3592-251359 | dean.caepht@cus.ac.in,https://cau.ac.in/caepht/,Sikkim
4,Sikkim Institute of Science and Technology (SIST),"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering)",South Sikkim,"Chisopani, PO Nandugaon, South Sikkim, Sikkim 737126",+91-9775452705 | sist.sikkim@gmail.com,https://sist.ac.in/,Sikkim
5,ICFAI University Sikkim,"MBA (Marketing, Finance, Human Resource Management, IT & Systems)",East Sikkim,"Ranka Road, Lower Sichey, Gangtok, Sikkim 737101",+91-3592-201466 | info@iusikkim.edu.in,https://www.iusikkim.edu.in/,Sikkim
6,SRM University Sikkim,"B.Tech (Computer Science & Engineering, Information Technology), MBA (General Management)",East Sikkim,"5th Mile, Tadong, Gangtok, Sikkim 737102",+91-3592-231666 | admission@srmus.ac.in,https://srmus.ac.in/,Sikkim
7,Sikkim University,"MBA (Finance, Marketing, Human Resource Management, Operations)",East Sikkim,"6th Mile, Samdur, Tadong, Gangtok, Sikkim 737102",+91-3592-251468 | contactus@cus.ac.in,https://cus.ac.in/,Sikkim
8,Sikkim Professional University,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR)",East Sikkim,"NH 10, Metro Point, Tadong, Gangtok, Sikkim 737102",+91-9383058385 | info@spu.ac,https://www.spu.ac/,Sikkim
9,Medhavi Skills University,"B.Tech (Computer Science & Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR)",East Sikkim,"Ratibari, Barasahi, P.O Karanji, P.S Bardari, East Sikkim, Sikkim 737101",+91-9163919000 | admissions@msu.edu.in,https://msu.edu.in/,Sikkim
10,Vinayaka Missions Sikkim University,"MBA (Marketing, Finance, Human Resource Management)",East Sikkim,"NH 31-A Tadong, Gangtok, Sikkim 737102",+91-3592-232588 | vmsuniversity@gmail.com,https://www.vmsuniversity.in/,Sikkim
11,Eastern Institute for Integrated Learning in Management (EIILM) University,"B.Tech (Civil Engineering, Mechanical Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Information Technology), MBA (Marketing, Finance, HR)",West Sikkim,"8th Mile, Budang, Malabassey, West Sikkim, Sikkim 737121",+91-9733009137 | eiilm@eiilmuniversity.ac.in,https://www.eiilmuniversity.co.in/,Sikkim
12,Sikkim Skill University,"B.Tech (Computer Science & Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR, Operations)",South Sikkim,"Namthang, South Sikkim, Sikkim 737137",+91-7479013180 | info@ssu.ac.in,https://www.ssu.ac.in/,Sikkim
13,Sikkim Alpine University,"B.Tech (Civil Engineering, Computer Science & Engineering), MBA (Marketing, Finance, HR)",South Sikkim,"Kamrang, Namchi, South Sikkim, Sikkim 737126",+91-9319888850 | admission@sikkimalpineuniversity.edu.in,https://www.sikkimalpineuniversity.edu.in/,Sikkim
14,Sikkim Global Technical University,"B.Tech (Civil Engineering, Mechanical Engineering, Computer Science & Engineering)",South Sikkim,"Barfung Block, Poklok Denchung, Kamrang, South Sikkim, Sikkim 737139",Not Available (after search),Not Available (after search),Sikkim
