#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,National Institute of Technology Arunachal Pradesh,"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Communication Engineering, Mechanical Engineering)",Papum Pare,"Jote, Papum Pare, Arunachal Pradesh 791113",+91-360-2954549 | registrar@nitap.ac.in,https://www.nitap.ac.in/,Arunachal Pradesh
2,North Eastern Regional Institute of Science and Technology,"B.Tech (Agricultural Engineering, Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Communication Engineering, Mechanical Engineering), MBA (General Management)",Papum Pare,"Nirjuli, Itanagar, Arunachal Pradesh 791109",+91-360-2257401 | registrar@nerist.ac.in,https://nerist.ac.in/,Arunachal Pradesh
3,Rajiv Gandhi University,"MBA (Marketing, Finance, Human Resource Management)",Papum Pare,"Rono Hills, Doimukh, Itanagar, Arunachal Pradesh 791112",+91-360-2277253 | registrar@rgu.ac.in,https://www.rgu.ac.in/,Arunachal Pradesh
4,Himalayan University,"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, Electrical Engineering), MBA (Marketing, Finance, HR)",Papum Pare,"Jullang Village, Near Central Jail, Itanagar, Papum Pare, Arunachal Pradesh 791111",+91-360-2203618 | info@himalayanuniversity.com,https://www.himalayanuniversity.com/,Arunachal Pradesh
5,Arunachal University of Studies,"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR)",Lohit,"NH-52, Namsai, Arunachal Pradesh 792103",+91-8731944477 | info@arunachaluniversity.ac.in,https://www.arunachaluniversity.ac.in/,Arunachal Pradesh
6,Arunodaya University,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering, Electrical Engineering)",Papum Pare,"E-Sector, Nirjuli, Itanagar, Papum Pare, Arunachal Pradesh 791109",+91-1800-3000-5334 | admissions@arunodayauniversity.ac.in,https://www.arunodayauniversity.ac.in/,Arunachal Pradesh
7,North East Frontier Technical University,"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, Electrical Engineering), MBA (Marketing, Finance, HR)",West Siang,"Sibu-Poyi, Aalo, West Siang, Arunachal Pradesh 791001",+91-03783-222444 | info@neftu.edu.in,https://www.neftu.edu.in/,Arunachal Pradesh
8,Apex Professional University,"B.Tech (Civil Engineering, Computer Science & Engineering), MBA (Marketing, Finance, Human Resource Management)",East Siang,"NH-52, Pasighat, East Siang, Arunachal Pradesh 791102",+91-7308380808 | info@apexuniversity.edu.in,https://www.apexuniversity.edu.in/,Arunachal Pradesh
9,Indira Gandhi Technological and Medical Sciences University,"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR)",Lower Subansiri,"Ziro, Lower Subansiri, Arunachal Pradesh 791120",+91-03788-224202 | registrar@igtamsu.ac.in,https://www.igtamsu.ac.in/,Arunachal Pradesh
10,Venkateshwara Open University,"MBA (Marketing, Finance, Human Resource Management), PGDM",Papum Pare,"Lekhi, Naharlagun, Papum Pare, Arunachal Pradesh 791110",+91-8731944477 | info@vou.ac.in,https://vou.ac.in/,Arunachal Pradesh
11,Arunachal Pradesh University,MBA (Commerce & Management),East Siang,"Pasighat, East Siang, Arunachal Pradesh 791102",Not Available (after search),https://www.apupsg.ac.in/,Arunachal Pradesh
12,The Global University,"B.Tech (Civil Engineering, Computer Science & Engineering), MBA (Marketing, Finance, HR)",Papum Pare,"Hollongi, Papum Pare, Arunachal Pradesh 791123",Not Available (after search),https://theglobaluniversity.in/,Arunachal Pradesh
