#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,National Institute of Technology Meghalaya (NIT Meghalaya),"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering)",East Khasi Hills,"Bijni Complex, Laitumkhrah, Shillong, Meghalaya 793003",+91-364-2501294 | registrar@nitm.ac.in,https://nitm.ac.in/,Meghalaya
2,North Eastern Hill University (NEHU),"B.Tech (Electronics & Communication Engineering, Information Technology, Energy Engineering, Biomedical Engineering)",East Khasi Hills,"Umshing Mawkynroh, Shillong, Meghalaya 793022",+91-364-2721001 | registrar@nehu.ac.in,https://nehu.ac.in/,Meghalaya
3,University of Science and Technology Meghalaya (USTM),"B.Tech (Computer Science & Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Electronics & Communication Engineering, Biotechnology)",Ri-Bhoi,"Kling Road, Baridua, 9th Mile, Ri-Bhoi, Meghalaya 793101",+91-8011828571 | ustm2011@gmail.com,https://ustm.ac.in/,Meghalaya
4,Regional Institute of Science and Technology (RIST),"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering)",Ri-Bhoi,"Techno City, Killing Road, 9th Mile, Ri-Bhoi, Meghalaya 793101",+91-361-2895071 | rist.admission@gmail.com,https://rist.ac.in/,Meghalaya
5,Shillong Government College of Engineering (SGCE),"B.Tech (Civil Engineering, Electrical Engineering)",East Khasi Hills,"Mawlai Kynton Massar, Shillong, Meghalaya 793022",Not Available (after search),Not Available (after search),Meghalaya
6,William Carey University,"B.Tech (Computer Science & Engineering, Civil Engineering) + MBA (Marketing, Finance, HR)",East Khasi Hills,"Zoram Villa, Bomfyle Road, Shillong, Meghalaya 793001",+91-6009905260 | info@williamcareyuniversity.ac.in,https://williamcareyuniversity.ac.in/,Meghalaya
7,CMJ University,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering, Electronics & Communication Engineering) + MBA (Marketing, Finance, HR)",East Khasi Hills,"Modrina Mansion, Laitumkhrah, Shillong, Meghalaya 793003",+91-361-2897413 | info@cmjumeghalaya.edu.in,https://cmju.in/,Meghalaya
8,MIT University of Meghalaya,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering) + MBA (Marketing, Human Resource Management, Hospitality Travel and Tourism, Banking and Finance)",East Khasi Hills,"Sunny View, Nongthymmai, Shillong, Meghalaya 793014",+91-364-3614667 | admissions@mituniversityshillong.in,https://mituniversityindia.edu.in/,Meghalaya
9,ICFAI University Meghalaya,"MBA (Marketing, Finance, Human Resource Management)",East Khasi Hills,"Phyrnai, Umshing Mawkynroh, Shillong, Meghalaya 793022",+91-9436116451 | admissions@iumeghalaya.edu.in,https://iumeghalaya.edu.in/,Meghalaya
10,Indian Institute of Management Shillong (IIM Shillong),"MBA / PGDM (Marketing, Finance, Operations, HR, Business Analytics)",East Khasi Hills,"Umsawli, Shillong, Meghalaya 793018",+91-364-2308000 | admissions@iimshillong.ac.in,https://www.iimshillong.ac.in/,Meghalaya
11,"Central Agricultural University (CAU), Umiam Campus","B.Tech (Food Technology, Agricultural Engineering) + MBA (Agri-Business Management)",Ri-Bhoi,"Umiam, Ri-Bhoi, Meghalaya 793103",+91-364-2570030 | registrar@cau.ac.in,https://www.cau.ac.in/,Meghalaya
12,Mahatma Gandhi University Meghalaya,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering) + MBA (Marketing, Finance, HR)",Ri-Bhoi,"13th Mile, G.S. Road, Khanapara, Ri-Bhoi, Meghalaya 793101",+91-8133014807 | info@mgu.edu.in,https://mgu.edu.in/,Meghalaya
